Product_Id,Product_Name,Quantity,Price
5441,TSSOPII TSSOP56 to DIP56 0.635mm / 0.8mm pitch SDRAM Adapter PCB,6,45
5440,FPC FFC 4p 6p 8p 10p 0.5mm SMD Adapter PCB,7,25
5438,DFN10 eMSOP10 0.5mm SMD Adapter PCB,7,25
5437,QFP32 QFN32 0.65mm 0.8mm SMD Adapter PCB,4,20
5436,2586 1812 1210 1206 SMA SMB SMC SMD Adapter PCB,4,18
5435,Cap/Coil SMD Adapter PCB,4,16
5434,0805/0603/0402/LED SMD to DIP PCB,76,18
5594,2P Metal Mini Round Shell Aviation Male and Female Circular Connectors GX16 - 16mm,7,60
5472,DC-DC Step Down 5A - XL4005,7,178
5471,Atmospheric Pressure(Altitude) + Temperature sensor based on BMP280 - I2C/SPI interface,44,250
5470,Micro USB Breakout PCB,6,25
5363,"5 pin JST XH, 2.5mm, M+F, Side Entry",7,13
5364,"5 pin JST XH, 2.5mm, M+F, Top Entry",9,13
4358,"Micro USB Connector, B Female, 5 Pin SMD",7,6
5446,DB9 Breakout PCB,1,30
5439,USB A-Type Female Breakout PCB,2,25
5433,Mini USB-B Breakout PCB,2,20
5468,PIR612 Demo Board,3,500
5467,Fresnel Lens for PIR Sensor dia 9mm,4,22
5466,PIR612 - Integrated PIR Sensor for Motion Sensing,45,145
5465,SMA Female PCB Vertical Mount - SMA-KE,5,35
3987,RF Transmitter 433MHz ASK 500mW@12V,76,135
5469,"40x1 Header Strip 2.54mm Pitch, Right Angle, Reversed Black Plastic",78,15
5463,USB 3.0 Breakout PCB Board with USB Connector Soldered,4,175
5350,Microwave Doppler Radar Module for Motion Detection RCWL-0516,4,125
3958,CS5460A - 24 bit ADC - SPI,3,65
5464,Micro PIR Motion Detection Sensor AM312,6,275
5408,Mini PIR Motion Detection Sensor HC-SR505,7,220
4176,PIR Motion Detection Sensor HC-SR501,78,135
5288,Piezo Passive Buzzer - Vertical,89,20
3776,4 Key RF Keypad Transmitter 433 Mhz EV1527 - Learning Code,8,500
4306,"RF Serial Data Link UART, 433 Mhz, +20dBm, HC-12",7,735
5292,FS8205A TSSOP-8,6,15
5361,Slide Switch SMD 2P2T - 6 pins - Side Offset Knob,6,12
4208,20x4 LCD Black on Yellow/Green,5,425
4825,2SC3356 (R25) SOT23,5,12
1102,Micro SD Memory Card interface for 3V MCU,4,100
1448,RF Remote Control Receiver Only - 4 Relays,3,800
5286,RF Remote Control - 4 CH Relay+Keypad,3,1180
4865,Enclosure for 7 Segment Displays,34,95
5349,RS485-TTL Module with Protection & Auto Transmit/Receive Switching,5,425
5358,40x2 Header Strip 40 pins Female - Dual Row - Straight - 2.54mm Pitch,6,15
5357,40x2 Header Strip 40 pins Male - Dual Row - Straight - 2.54mm Pitch,7,10
5356,DHT12 - I2C - Digital Humidity and Temperature Sensor,7,185
5353,Battery Holder for 12V 23A - PCB Pins,7,16
5351,SMA Female PCB Edge Mount - SMA-KE,6,35
5202,Battery Holder for 12V 23A - Wire,5,16
4121,"433 Mhz Antenna, 3DB, 5cm, Straight, SMA Male",5,90
5396,CP2103 - USB-UART IC,44,100
5302,PCB for Output Driver Board - Expandable,5,18
4611,TVS Diode 12V - SMBJ12CA,6,10
5347,2.4 Ghz 4DB Wifi Omnidirectional Antenna - IPEX/IPX,6,95
4122,"2.4 Ghz, 3DB Antenna, SMA - Black",7,135
4644,SMA to IPX/IPEX/uFL/u.FL RF Adapter Cable - 15cm,5,95
5346,EMI Ferrite Chip Bead - 2A - 0603 - TDK MPZ1608S221ATA00,5,3
5345,"RF Antenna Connector, SMD, IPX, IPEX, U.LF, MHF",5,12
5342,TXS0108E (YF08E) TSSOP20,4,118
5171,10K (103) L=20mm ST Potentiometer (Volume Control) RV09ACF-40,6,15
5170,10K (103) L=20mm R/A Potentiometer (Volume Control) RV09A-21,6,15
5169,10K (103) L=15mm Rotary Potentiometer (Volume Control),7,12
5344,Solid State Relay(SSR) DC(12V) - AC(100-240V) 2A,6,135
5337,Pulse Oximeter SpO2 and Heart-Rate Sensor Module - I2C - MAX30100,5,945
5335,"Color LCD - TFT 1.8"" - 128x160 - ST7735 - SPI - 3V3",5,950
1453,USB to TTL UART Cable - FTDI FT230X,4,575
1452,Output Driver Board - Expandable,5,300
5284,Relay Board - 4 Channel,9,300
5308,LM2596HVS-5.0 TO263,8,53
5307,LM2596HVS-ADJ TO263,7,55
5306,LM2596HVS-12 TO263,7,45
1454,USB to RS232 Converter - FTDI FT230X,78,565
1455,USB to RS485 Converter - FTDI FT230X,3,899
4317,DC-DC Step Down High Voltage(Max 60V) 3A - LM2576HV,4,580
1451,USB-TTL UART Module - FTDI FT230X,4,550
5326,48V 7.3A 350W SMPS Mean Well LRS-350-48,5,4300
5325,48V 4.4A 200W SMPS Mean Well LRS-200-48,5,3400
5323,24V 8.8A 200W SMPS Mean Well LRS-200-24,5,2800
5322,24V 6.5A 150W SMPS Mean Well LRS-150-24,2,1898
5317,12V 29A 350W SMPS Mean Well LRS-350-12,2,3763
5316,12V 17A 200W SMPS Mean Well LRS-200-12,5,2975
1449,RF Receiver for Active RFID,5,300
5300,DC Socket - Threaded Nut Panel Mount - Suitable for 5.5x2.1mm DC Pins,6,10
5240,Slide Switch Through Hole - 1P2T - Right Angle - 3 pins,23,10
5261,Slide Switch SMD 2P2T - 6 pins,6,12
5260,Slide Switch Through Hole 2P2T - 6 pins,6,12
5239,33nH 0603 300mA Inductor - AIMC-0603-33N,3,3
5280,SOIC16 SSOP16 0.65mm 1.27mm SMD Adapter PCB,6,22
5281,TSSOP56 TSSOP48 0.5mm 0.65mm SMD Adapter PCB,76,125
5279,SOIC32 1.27mm or DIP 1.27mm to 2.54mm SMD Adapter PCB,3,55
5282,RED LED SMD 5050,6,5
5297,27R 1% 0603,45,1
5296,47pF SMD 0603,6,2
5295,10nF(103) SMD 0603,6,2
1450,RF Remote Control - 8 CH Relay+Keypad,3,1700
1445,8 Switch RF Keypad Transmitter - EV1527 - Learning Code 433 Mhz,6,480
5293,ULN2003A - DIP,8,20
5291,1x1 Berg Housing 2.54mm,4,1
5290,Crimping Pins for Berg 2.54mm,3,2
5287,QFP100 TQFP100 FQFP100 - 0.5mm - Body 14x14mm (16x16mm with Pins) - ZIF Socket,9,3000
5285,QFP80 TQFP80 FQFP80 - 0.5mm - Body 12x12mm (14x14mm with Pins) - ZIF Socket,3,3000
5269,4 Relays - Blank PCB,6,58
5273,Terminal 2P 5.08mm Pluggable Straight,3,20
5252,8 Relays - Blank PCB,4,111
5274,Terminal 3P 5.08mm Pluggable Straight,7,30
5275,Terminal 4P 5.08mm Pluggable Straight,6,40
5262,Slide Switch - 8.6mm - Horizontal 2P2T,4,14
5256,Slide Switch - 8.6mm - Vertical 1P2T,3,10
1261,Prototyping PCB - 5x7cm SS FR4,6,35
5257,4.7uF 16V (475C A3216) Tantalum AVX,6,7
5255,"Slide Switch, 1P2T, High Current, Straight",3,15
5263,"Slide Switch, 1P2T, High Current, Right Angle ",6,15
5253,FT230XS-R - SSOP16,6,245
5249,XL6009E1 TO263-5 - IC for DC-DC Boost,3,85
5245,Push ON/OFF Switch Horiz,6,15
5248,Green Cap for Push ON/OFF Switches,36,3
5247,Red Cap for ON/OFF Sw Horiz,36,3
5526,2P JST PH 2.0mm Top Entry Header,6,1
5246,4N35 - 6-Pin DIP Phototransistor ,3,18
5276,GSM Modem - RS232 - SIM800A,6,1250
1262,Prototyping PCB - 10x7cm SS FR4,6,64
1443,RF Remote Receiver/Decoder Module - EV1527 / PT226x,3,450
4745,PT2272 Decoder Blank PCB,6,18
1142,RC5 Remote Decoder Serial Out,36,195
3812,NEC Remote Decoder Serial Out,3,195
5238,"SHT20 - Humidity Temperature Sensor, I2C, Calibrated, 3.3V",6,335
5220, 9V Battery Snap Connector,6,7
1444,4 Switch RF Keypad Transmitter - EV1527 - Learning Code 433 Mhz,3,380
