Titulo;Autor;Editora; Valor 
Edifícios Escolares - Miguel Juliano;Cristiane Corrêa;Atelie; 23,00 
Educação & Psicologia - Cinquenta Anos de Profissão;Geraldina Porto Witter;Atelie; 64,00 
Educação Sentimental em Proust;Philippe Willemart;Atelie; 48,00 
Educar para o Imponderável;Luis Carlos de Menezes;Atelie; 60,00 
Edusp: Um Projeto Editorial;Marcello Rollemberg, Plinio Martins Filho;Atelie; 99,80 
Égloga da Maçã;Affonso Ávila;Atelie; 48,00 
Eis o Mundo de Fora;Adrienne Myrtes;Atelie; 39,00 
Electra de Eurípides;Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides;Atelie; 45,00 
Electra(s);Trajano Vieira;Atelie; 39,60 
Elementos de Semiótica Tensiva;Ivã Carlos Lopes, Luiz Tatit, Claude Zilberberg;Atelie; 52,00 
Elos de Melodia e Letra - Análise Semiótica de Seis Canções;Luiz Tatit, Ivã Carlos Lopes;Atelie; 48,00 
Em Louvor de Anti-Heróis;Victor Brombert;Atelie; 56,00 
Em Nome do Corpo;Iacopo Pontormo;Atelie; 57,00 
Encanto de Narciso, O - Reflexões sobre a Fotografia;Boris Kossoy;Atelie; 68,00 
Encontros e Des-encontros;Maria Teresa Hellmeister Fornaciari;Atelie; 27,00 
Encrenca;Manoel Carlos Karam;Atelie; 34,00 
Ensaiando a Canção - Paulinho da Viola e Outros Escritos;Eliete Eça Negreiros;Atelie; 40,00 
Ensino de Ciências e Matemática - Formação e Atuação de Professores;Geraldina Porto Witter, Moacir Wuo;Atelie; 36,00 
Entreato Amoroso;Aercio Consolin;Atelie; 49,50 
Entreatos;Marcelo Castel Cid, Gustavo Piqueira;Atelie; 32,00 
Entrelivros;João Alexandre Barbosa;Atelie; 42,00 
Entretanto n° 1 - Revista de Literatura;Marcelino Freire, Delmo Montenegro, Fabiano Calixto, Micheliny Verunschk, Raimundo Carrero;Atelie; 25,00 
Entrevistas de Domingo;O Diário de Mogi;Atelie; 150,00 
Epigramas 2. ed.;Marco Valério Marcial, Rodrigo Garcia Lopes, Gustavo Piqueira;Atelie; 45,00 
Era no Tempo do Rei - Atualidade das Memórias de um Sargento de Milícias;Edu Teruki Otsuka;Atelie; 53,00 
EraOdito;Marcelino Freire;Atelie; 48,00 
Esaú e Jacó;Machado de Assis, Paulo Franchetti, José de Paula Ramos Jr.;Atelie; 48,80 
Escrita de Deus, A;Wilson Roberto Theodoro Filho;Atelie; 40,00 
Escritores, Gatos e Teologia;Waldecy Tenório;Atelie; 45,00 
Esplendor do Barroco Luso-brasileiro;Benedito Lima de Toledo;Atelie; 109,00 
Espuma do Fogo, A;Carlos Nejar;Atelie; 30,00 
Estados da Crítica;Alcides Cardoso dos Santos;Atelie; 44,00 
Estimar Canções;Luiz Tatit;Atelie; 38,00 
Estrelas Errantes - Memória do Teatro Ídiche no Brasil;Nachman Falbel;Atelie; 140,00 
Estudos Comparados - Teoria, Crítica e Metodologia;Benjamin Abdala Jr.;Atelie; 68,00 
Estudos de Literatura Brasileira e Portuguesa;Paulo Franchetti;Atelie; 63,00 
Euclides da Cunha: Uma Odisseia nos Trópicos;Frederic Amory;Atelie; 98,00 
Eugênio Montale - Criatividade Poética e Psicanálise;Marisa Pelella Mélega;Atelie; 37,00 
Eugênio Onêguin - Volume 1;Aleksandr Púchkin, Elena Vássina, Alípio Correia de Franca Neto;Atelie; 78,00 
Exílio - As Histórias da Grande Peste;Samuel Reibscheid;Atelie; 43,00 
Extravio Marinho;Simone Homem de Mello;Atelie; 47,00 
Farsa de Inês Pereira;Carlos Cortez Minchillo, Izeti Fragata Torralvo, Gil Vicente;Atelie; 32,00 
Fascinação;Flavio de Souza, Luci Collin;Atelie; 49,90 
Fábulas para o Ano 2000;Gustavo Martins, Rodrigo Lacerda;Atelie; 32,00 
Feito Eu;Elisa Nazarian;Atelie; 35,00 
Ficção da Escrita, A;Cláudia Amigo Pino;Atelie; 48,00 
Figurações do Oitocentos;Paulo Motta Oliveira;Atelie; 56,00 
Filho do Crucificado, O;Nelson de Oliveira;Atelie; 42,00 
Filosofando com o Miró;Eduardo Etzel;Atelie; 45,00 
Fluxo Silencioso das Máquinas, O;Bruno Zeni;Atelie; 38,00 
Fogos de Artifício: Flaubert e a Escritura;Verónica Galíndez-Jorge;Atelie; 42,00 
Fúria Azul - Antielegias;Carlos Nejar;Atelie; 48,00 
Forma do Livro, A - Ensaios sobre Tipografia e Estética do Livro;Jan Tschichold;Atelie; 93,00 
Fotografia & História;Boris Kossoy;Atelie; 52,00 
Fragmentos do Sol Chuvoso;Lauro Henriques Jr.;Atelie; 43,00 
Franklin Távora e o seu Tempo;Cláudio Aguiar;Atelie; 40,00 
Frei Galvão - Arquiteto;Benedito Lima de Toledo;Atelie; 40,00 
Freud - A Conquista do Proibido;Renato Mezan;Atelie; 30,00 
Fronteiras Culturais - Brasil, Uruguai, Argentina;Maria Helena Martins;Atelie; 48,00 
Gênero do Cuidado, O;Nadya Araujo Guimarães, Helena Sumiko Hirata;Atelie; 62,00 
Gérard de Nerval: A Escrita em Trânsito;Marta Kawano;Atelie; 45,00 
Geórgicas;Virgílio, Paulo Sergio de Vasconcellos, Odorico Mendes;Atelie; 98,00 
Gentíssima;Maria Ignez Corrêa da Costa Barbosa;Atelie; 52,00 
Geometrias de Cosmos;Rodrigo Suzuki Cintra;Atelie; 49,50 
Gil Vicente - O Velho da Horta, Auto da Barca do Inferno, Farsa de Inês Pereira (40a ed.);Segismundo Spina;Atelie; 40,00 
Girassol Voltado para a Terra;Renato Tardivo;Atelie; 44,00 
Goethe e Hackert - Sobre a Pintura de Paisagem;Claudia Valladão de Mattos;Atelie; 35,00 
Graciliano na Terra de Camões;Thiago Mio Salla, Gustavo Piqueira;Atelie; 80,00 
Grito de Jorge Andrade, O - A Experiência de um Autor na Telenovela Brasileira dos Anos 1970;Sabina Reggiani Anzuategui;Atelie; 42,00 
Guarani, O;Eduardo Vieira Martins, José de Alencar, Luciana Rocha;Atelie; 54,00 
Guimarães Rosa - Fronteiras, Margens, Passagens;Marli Fantini Scarpelli;Atelie; 65,00 
Gustavo Giovannoni - Textos Escolhidos;Beatriz Mugayar Kühl;Atelie; 45,00 
Hannah Arendt & Karl Marx - O Mundo do Trabalho;Eugenia Sales Wagner;Atelie; 49,00 
Hannah Arendt - Ética e Política;Eugenia Sales Wagner;Atelie; 65,00 
Herdando uma Biblioteca;Miguel Sanches Neto;Atelie; 42,00 
Hidra Vocal - Estudos sobre Retórica e Poética;Lavínia Silvares, Marcelo Lachat, Maria do Socorro Fernandes de Carvalho;Atelie; 58,00 
Hino Homérico a Apolo, O;Luiz Alberto Machado Cabral;Atelie; 72,00 
Hipóteses de Amor;Annalisa Cima;Atelie; 76,00 
História da Língua Portuguesa;-;Atelie; 98,00 
História das Aventuras de Joseph Andrews e seu Amigo o Senhor Abraham Adams, A;Henry Fielding;Atelie; 105,00 
História de um Livro;Marisa Midori Deaecto;Atelie; 96,00 
História do PT;Lincoln Secco;Atelie; 49,00 
Histórias de Banheiro;Dirce de Assis Cavalcanti;Atelie; 43,00 
Histórias em Imagens e Versos - Wilhelm Busch;Guilherme de Almeida, Wilhelm Busch, Simone Homem de Mello;Atelie; 82,00 
Hong Kong & Outros Poemas;Antônio Moura;Atelie; 26,00 
Horizonte da Minha Pele, O;Emilio Bejel;Atelie; 51,00 
Ícaro;Gabriel Pedrosa;Atelie; 26,00 
Idade da Aurora, A;Carlos Nejar;Atelie; 75,00 
Idade da Noite, A;Carlos Nejar;Atelie; 79,00 
Idade Média no Cinema, A;José Rivair Macedo, Lênia Márcia Mongelli;Atelie; 45,00 
Idiotas & Demagogos - Pequeno Manual de Instruções da Democracia;Almyr Gajardoni;Atelie; 43,00 
Ilhas Brasil;Carlos Vogt;Atelie; 43,00 
Ilustre Casa de Ramires, A;Marise Hansen, Eça de Queirós;Atelie; 49,80 
Imagem Fria, A;Tales Ab'Sáber;Atelie; 45,00 
Imagens do Poder em Sêneca;Marilena Vizentin;Atelie; 52,00 
Imigrantes Judeus do Oriente Médio - São Paulo e Rio de Janeiro;Rachel Mizrahi;Atelie; 120,00 
Imigrantes, Mascates e Doutores;Meir Kucinski;Atelie; 54,00 
Imprensa Confiscada pelo DEOPS - 1924-1954, A;Maria Luiza Tucci Carneiro, Boris Kossoy;Atelie; 116,00 
Índia - Além do Olhar;Marleine Paula Marcondes e Ferreira de Toledo;Atelie; 35,00 
Índios na Constituição, Os;Camila Loureiro Dias, Artionka Capiberibe;Atelie; 30,00 
Informação. Linguagem. Comunicação;Décio Pignatari;Atelie; 38,00 
Iniciação Boêmia & Textos Correlatos;Nuno Fidelino de Figueiredo, Fidelino de Figueiredo;Atelie; 41,00 
Inocência;José de Paula Ramos Jr., Visconde de Taunay, Jefferson Cano, Kaio Romero;Atelie; 45,00 
Insólita Metrópole: São Paulo nas Crônicas de Paulo Bomfim;Ana Luiza Martins;Atelie; 84,00 
Intelecto em Ibn Sina (Avicena), O;Miguel Attie Filho;Atelie; 56,00 
Interior Via Satélite;Marcos Siscar;Atelie; 52,00 
Interpretações: Crítica Literária e Psicanálise;Cleusa Rios P. Passos, Yudith Rosenbaum;Atelie; 48,00 
Intervalo Semântico, O;Carlos Vogt;Atelie; 52,00 
Intransitivos, Os;Cacá Moreira de Souza;Atelie; 53,00 
Introdução ao Estudo de Fernando Pessoa;Fernando Cabral Martins;Atelie; 52,00 
Inula Niúla;Michel Sleiman;Atelie; 43,00 
Iracema - Lenda do Ceará;Leila Guenther, Paulo Franchetti, José de Alencar;Atelie; 45,50 
Irrecusável Busca de Sentido, A;Scarlett Marton;Atelie; 52,00 
Jacques Derrida - Entreatos de Leitura e Literatura-;Roberto Said, Luiz Fernando Ferreira Sá;Atelie; 51,00 
Jogo de Palavras;Jacó Guinsburg;Atelie; 58,00 
Jogo de Ronda;Orlando Arruda;Atelie; 43,00 
Jornada e a Clausura, A;Raquel de Almeida Prado;Atelie; 52,00 
João Guimarães Rosa e a Saudade;Susana Lages;Atelie; 42,00 
Judeus e Judaísmo na Obra de Lasar Segall;Maria Luiza Tucci Carneiro, Celso Lafer;Atelie; 120,00 
Kalevala - Poema Primeiro;Elias Lönnrot;Atelie; 37,50 
Konstantinos Kaváfis - 60 Poemas;Trajano Vieira, Konstantinos Kaváfis;Atelie; 39,00 
